Item,Title,SYSC,Link
ALIST,TSO command lists information about all allocated datasets,No,https://www.jaymoseley.com/hercules/cbt_ware/alist.htm
CATLG,TSO commands adds three IEHPROGM functions,No,https://www.jaymoseley.com/hercules/cbt_ware/catlg.htm
CONSAMS,execute IDCAMS commands from system console ,No,https://www.jaymoseley.com/hercules/cbt_ware/consams.htm
DD,TSO command displays the attributes of datasets,No,https://www.jaymoseley.com/hercules/cbt_ware/dd.htm
DDN,TSO command shorthand version of ALLOC,No,https://www.jaymoseley.com/hercules/cbt_ware/ddn.htm
DISKMAP,Prints report of dataset allocation on selected DASD volumes ,No,https://www.jaymoseley.com/hercules/cbt_ware/diskmap.htm
DSAT,TSO command displays data set information by index level.,No,https://www.jaymoseley.com/hercules/cbt_ware/dsat.htm
DUDASD,TSO command displays DASD unit information on TSO User's screen,No,https://www.jaymoseley.com/hercules/cbt_ware/dudasd.htm
DUTAPES,TSO command display TAPE unit information on TSO User's screen (also STC),No,https://www.jaymoseley.com/hercules/cbt_ware/dutapes.htm
DYNALLOC,subroutine allows COBOL main program to dynamically allocate datasets ,Yes,https://www.jaymoseley.com/hercules/cbt_ware/dynalloc.htm
FILEATTR,subroutine allows COBOL main program to retrieve dataset attributes ,Yes,https://www.jaymoseley.com/hercules/cbt_ware/fileattr.htm
FIND,TSO command searchs members of PDS for string (similar to 'check' function of PDSUPDTE),No,https://www.jaymoseley.com/hercules/cbt_ware/find.htm
FINDFILE,TSO command displays the catalog and DASD location of a specified dataset,No,https://www.jaymoseley.com/hercules/cbt_ware/findfile.htm
FREEALL,TSO command frees all allocated datasets,No,https://www.jaymoseley.com/hercules/cbt_ware/freeall.htm
GDGCOPY,copies Generation Data Groups in correct order ,Yes,https://www.jaymoseley.com/hercules/cbt_ware/gdgcopy.htm
IBHLSPAC,list all availble space on DASD that are online ,No,https://www.jaymoseley.com/hercules/cbt_ware/ibhlspac.htm
